ligand      mode    affinity    rmsd-l.b.   rmsd-u.b.
ligand_0    1         -9.4      0.000      0.000
ligand_0    2         -8.6      2.663      3.505
ligand_0    3         -8.5      2.379      2.707
ligand_0    4         -8.5      1.481      2.183
ligand_0    5         -8.5      2.003      3.455
ligand_0    6         -8.5      3.574      5.018
ligand_0    7         -8.1      2.224      3.489
ligand_0    8         -8.0      4.026      6.210
ligand_0    9         -7.9      3.970     11.389
ligand_1    1        -10.2      0.000      0.000
ligand_1    2        -10.0      2.980      3.900
ligand_1    3         -9.8      2.735     11.636
ligand_1    4         -9.8      4.667      7.821
ligand_1    5         -9.7      4.299     11.989
ligand_1    6         -9.5      1.964      2.435
ligand_1    7         -9.3      4.702      7.664
ligand_1    8         -9.3      4.643      7.937
ligand_1    9         -9.3      2.802      3.424
ligand_2    1         -7.1      0.000      0.000
ligand_2    2         -7.0      2.811      6.323
ligand_2    3         -6.9      1.532      6.188
ligand_2    4         -6.9      1.699      6.023
ligand_2    5         -6.9      2.408      6.029
ligand_2    6         -6.7      1.297      1.417
ligand_2    7         -6.2      2.166      6.088
ligand_2    8         -6.2      7.942     10.740
ligand_2    9         -6.2      1.994      2.737
ligand_3    1         -9.5      0.000      0.000
ligand_3    2         -9.5      3.459      6.414
ligand_3    3         -9.1      4.388      8.388
ligand_3    4         -8.9      4.298     11.566
ligand_3    5         -8.8      3.824      5.968
ligand_3    6         -8.6      2.688     10.615
ligand_3    7         -8.6      4.475      7.549
ligand_3    8         -8.6      5.739      9.348
ligand_3    9         -8.6      1.675      2.708
